country,species,live_weight
Somalia,Sheep,26.0
Somalia,Goats,26.0
Somalia,Pigs,70.0
Somalia,Chickens,1.1
Somalia,Camels,360.0
South Africa,Cattle,391.0
South Africa,Sheep,35.0
South Africa,Goats,31.0
South Africa,Pigs,85.0
South Africa,Chickens,1.7
South Africa,Turkeys,9.0
South Africa,Horses,420.0
Sudan (former),Cattle,217.0
Sudan (former),Sheep,32.0
Sudan (former),Goats,26.0
Sudan (former),Chickens,1.2
Sudan (former),Camels,490.0
Eswatini,Cattle,432.0
Eswatini,Sheep,37.0
Eswatini,Goats,37.0
Eswatini,Pigs,68.0
Eswatini,Chickens,1.5
United Republic of Tanzania,Cattle,206.0
United Republic of Tanzania,Sheep,24.0
United Republic of Tanzania,Goats,24.0
United Republic of Tanzania,Pigs,51.0
United Republic of Tanzania,Chickens,1.27
Togo,Cattle,250.0
Togo,Sheep,22.0
Togo,Goat,20.0
Togo,Pigs,40.0
Togo,Chickens,1.1
Tunisia,Cattle,350.0
Tunisia,Sheep,22.0
Tunisia,Goat,16.0
Tunisia,Pigs,70.0
Tunisia,Chickens,1.584
Tunisia,Turkeys,6.7
Tunisia,Horses,115.0
Tunisia,Camels,216.0
Uganda,Cattle,310.0
Uganda,Sheep,28.0
Uganda,Goats,24.0
Uganda,Pigs,75.0
Uganda,Chickens,1.6
Democratic Republic of the Congo,Cattle,303.0
Democratic Republic of the Congo,Sheep,22.0
Democratic Republic of the Congo,Goat,20.0
Democratic Republic of the Congo,Pigs,71.0
Democratic Republic of the Congo,Chickens,1.0
Zambia,Cattle,309.0
Zambia,Sheep,29.0
Zambia,Goats,23.0
Zambia,Pigs,60.0
Zambia,Chickens,1.2
Zimbabwe,Cattle,359.0
Zimbabwe,Sheep,28.0
Zimbabwe,Goats,24.0
Zimbabwe,Pigs,74.0
Zimbabwe,Chickens,1.5
Zimbabwe,Turkeys,4.5
Antigua and Barbuda,Cattle,377.0
Antigua and Barbuda,Sheep,26.0
Antigua and Barbuda,Goats,22.0
Antigua and Barbuda,Pigs,74.0
Antigua and Barbuda,Chickens,1.5
Bahamas,Cattle,350.0
Bahamas,Sheep,30.0
Bahamas,Goats,26.0
Bahamas,Pigs,75.0
Bahamas,Chickens,1.6
Barbados,Cattle,389.0
Barbados,Sheep,30.0
Barbados,Goats,30.0
Barbados,Pigs,136.0
Barbados,Chickens,1.5
Belize,Cattle,339.0
Belize,Sheep,28.0
Belize,Goats,24.0
Belize,Pigs,54.0
Belize,Chickens,1.798
Belize,Turkeys,2.4
Canada,Cattle,592.0
Canada,Sheep,42.0
Canada,Pigs,96.0
Canada,Chickens,1.82
Canada,Ducks,2.678
Canada,Geese,6.57
Canada,Turkeys,7.556
Canada,Horses,500.0
Costa Rica,Cattle,417.0
Costa Rica,Sheep,33.0
Costa Rica,Goats,26.0
Costa Rica,Pigs,96.0
Costa Rica,Chickens,1.871
Cuba,Cattle,286.0
Cuba,Sheep,24.0
Cuba,Goats,24.0
Cuba,Pigs,91.0
Cuba,Chickens,1.54
Cuba,Horses,270.0
Dominica,Cattle,360.0
Dominica,Sheep,30.0
Dominica,Goats,26.0
Dominica,Pigs,90.0
Dominica,Chickens,1.586
Dominican Republic,Cattle,518.0
Dominican Republic,Sheep,20.0
Dominican Republic,Goats,24.0
Dominican Republic,Pigs,100.0
Dominican Republic,Chickens,1.721
El Salvador,Cattle,318.0
El Salvador,Sheep,30.0
El Salvador,Goats,30.0
El Salvador,Pigs,90.0
El Salvador,Chickens,1.591
Grenada,Cattle,303.0
Grenada,Sheep,33.0
Grenada,Goats,22.0
Grenada,Pigs,79.0
Grenada,Chickens,1.729
Guadeloupe,Cattle,418.0
Guadeloupe,Sheep,24.0
Guadeloupe,Goat,26.0
Guadeloupe,Pigs,83.0
Guadeloupe,Chickens,1.5
Guadeloupe,Turkeys,5.049
Guadeloupe,Horses,250.0
Guadeloupe,Rabbits,1.8
Guatemala,Cattle,362.0
Guatemala,Sheep,30.0
Guatemala,Goats,30.0
Guatemala,Pigs,81.0
Guatemala,Chickens,2.048
Guatemala,Horses,250.0
Haiti,Cattle,280.0
Haiti,Sheep,30.0
Haiti,Goat,30.0
Haiti,Pigs,90.0
Haiti,Chickens,1.2
Haiti,Turkeys,2.0
Haiti,Horses,400.0
Honduras,Cattle,290.0
Honduras,Sheep,30.0
Honduras,Goats,30.0
Honduras,Pigs,45.0
Honduras,Chickens,1.3
Honduras,Horses,250.0
Jamaica,Cattle,436.0
Jamaica,Sheep,37.0
Jamaica,Goats,26.0
Jamaica,Pigs,97.0
Jamaica,Chickens,1.83
Jamaica,Horses,300.0
Martinique,Cattle,410.0
Martinique,Sheep,34.0
Martinique,Goat,21.0
Martinique,Pigs,81.0
Martinique,Chickens,1.33
Martinique,Rabbits,3.0
Mexico,Cattle,384.0
Mexico,Sheep,32.0
Mexico,Goats,25.0
Mexico,Pigs,82.0
Mexico,Chickens,1.903
Mexico,Turkeys,4.0
Mexico,Horses,250.0
Mexico,Rabbits,1.7
Nicaragua,Cattle,291.0
Nicaragua,Sheep,26.0
Nicaragua,Goats,30.0
Nicaragua,Pigs,66.0
Nicaragua,Chickens,2.035
Nicaragua,Horses,200.0
Panama,Cattle,360.0
Panama,Pigs,78.0
Panama,Chickens,1.625
Puerto Rico,Cattle,439.0
Puerto Rico,Sheep,25.0
Puerto Rico,Goats,28.0
Puerto Rico,Pigs,87.0
Puerto Rico,Chickens,1.6
Saint Kitts and Nevis,Cattle,360.0
Saint Kitts and Nevis,Sheep,35.0
Saint Kitts and Nevis,Goats,30.0
Saint Kitts and Nevis,Pigs,90.0
Saint Kitts and Nevis,Chickens,1.5
Saint Lucia,Cattle,365.0
Saint Lucia,Sheep,42.0
Saint Lucia,Goats,30.0
Saint Lucia,Pigs,85.0
Saint Lucia,Chickens,1.5
Saint Vincent and the Grenadines,Cattle,365.0
Saint Vincent and the Grenadines,Sheep,30.0
Saint Vincent and the Grenadines,Goats,28.0
Saint Vincent and the Grenadines,Pigs,95.0
Saint Vincent and the Grenadines,Chickens,1.696
Trinidad and Tobago,Cattle,344.0
Trinidad and Tobago,Sheep,38.0
Trinidad and Tobago,Goats,30.0
Trinidad and Tobago,Pigs,76.0
Trinidad and Tobago,Chickens,1.965
United States of America,Cattle,539.0
United States of America,Sheep,59.0
United States of America,Pigs,117.0
United States of America,Chickens,2.072
United States of America,Turkeys,10.296
United States of America,Horses,500.0
Argentina,Cattle,393.0
Argentina,Sheep,34.0
Argentina,Goats,13.0
Argentina,Pigs,112.0
Argentina,Chickens,2.472
Argentina,Turkeys,6.0
Argentina,Horses,434.0
Argentina,Rabbits,1.8
Brazil,Cattle,382.0
Brazil,Sheep,30.0
Brazil,Goats,22.0
Brazil,Pigs,120.0
Brazil,Chickens,1.75
Brazil,Turkeys,6.98
Brazil,Horses,180.0
Brazil,Rabbits,2.2
Chile,Cattle,495.0
Chile,Sheep,28.0
Chile,Goats,36.0
Chile,Pigs,95.0
Chile,Chickens,1.4
Chile,Horses,431.0
Colombia,Cattle,389.0
Colombia,Sheep,27.0
Colombia,Goats,31.0
Colombia,Pigs,91.0
Colombia,Chickens,1.926
Colombia,Horses,360.0
Colombia,Rabbits,1.8
Ecuador,Cattle,460.0
Ecuador,Sheep,50.0
Ecuador,Goats,40.0
Ecuador,Pigs,90.0
Ecuador,Chickens,2.0
Ecuador,Turkeys,10.0
Ecuador,Rabbits,2.0
Guyana,Cattle,318.0
Guyana,Sheep,20.0
Guyana,Goats,21.0
Guyana,Pigs,78.0
Guyana,Chickens,1.4
Paraguay,Cattle,345.0
Paraguay,Sheep,31.0
Paraguay,Goats,22.0
Paraguay,Pigs,90.0
Paraguay,Chickens,1.3
Paraguay,Turkeys,3.5
Paraguay,Horses,360.0
Peru,Cattle,280.0
Peru,Sheep,22.0
Peru,Goats,21.0
Peru,Pigs,74.0
Peru,Chickens,1.8
Peru,Rabbits,1.5
Suriname,Cattle,274.0
Suriname,Sheep,25.0
Suriname,Goats,22.0
Suriname,Pigs,90.0
Suriname,Chickens,1.722
Uruguay,Cattle,441.0
Uruguay,Sheep,33.0
Uruguay,Pigs,108.0
Uruguay,Chickens,1.3
Uruguay,Turkeys,3.5
Uruguay,Horses,420.0
Uruguay,Rabbits,1.9
Venezuela (Bolivarian Republic of),Cattle,416.0
Venezuela (Bolivarian Republic of),Sheep,30.0
Venezuela (Bolivarian Republic of),Goats,20.0
Venezuela (Bolivarian Republic of),Pigs,75.0
Venezuela (Bolivarian Republic of),Chickens,2.066
Armenia,Cattle,265.0
Armenia,Sheep,33.0
Armenia,Goats,30.0
Armenia,Pigs,91.0
Armenia,Chickens,1.631
Armenia,Rabbits,2.149
Afghanistan,Cattle,230.0
Afghanistan,Sheep,32.0
Afghanistan,Goats,33.0
Afghanistan,Chickens,1.08
Afghanistan,Camels,360.0
Azerbaijan,Cattle,192.0
Azerbaijan,Sheep,38.0
Azerbaijan,Pigs,97.0
Azerbaijan,Chickens,1.896
Bahrain,Cattle,240.0
Bahrain,Sheep,36.0
Bahrain,Goats,30.0
Bahrain,Chickens,1.5
Bahrain,Camels,320.0
Bangladesh,Cattle,130.0
Bangladesh,Buffaloes,155.0
Bangladesh,Sheep,15.0
Bangladesh,Goats,14.0
Bangladesh,Chickens,1.0
Bhutan,Cattle,170.0
Bhutan,Buffaloes,170.0
Bhutan,Sheep,22.0
Bhutan,Goats,20.0
Bhutan,Pigs,59.0
Bhutan,Chickens,1.0
Brunei Darussalam,Cattle,250.0
Brunei Darussalam,Buffaloes,350.0
Myanmar,Cattle,230.0
Myanmar,Buffaloes,300.0
Myanmar,Sheep,20.0
Myanmar,Goats,20.0
Myanmar,Pigs,90.0
Myanmar,Chickens,1.42
Myanmar,Ducks,1.7
Myanmar,Geese,3.27
Myanmar,Turkeys,3.27
China,Cattle,322.0
China,Buffaloes,221.0
China,Sheep,23.0
China,Goats,25.0
China,Pigs,99.0
China,Chickens,1.759
China,Horses,250.0
China,Camels,450.0
China,Rabbits,1.836
Cyprus,Cattle,584.0
Cyprus,Sheep,43.0
Cyprus,Goats,42.0
Cyprus,Pigs,103.0
Cyprus,Chickens,2.307
Cyprus,Turkeys,6.9
Cyprus,Rabbits,1.734
Georgia,Cattle,280.0
Georgia,Sheep,30.0
Georgia,Pigs,100.0
Georgia,Chickens,0.9
Georgia,Rabbits,2.166
"China, Hong Kong SAR",Cattle,468.0
"China, Hong Kong SAR",Sheep,38.0
"China, Hong Kong SAR",Goats,24.0
"China, Hong Kong SAR",Pigs,84.0
"China, Hong Kong SAR",Chickens,1.788
India,Cattle,205.0
India,Buffaloes,310.0
India,Sheep,22.0
India,Goats,18.0
India,Pigs,50.0
India,Chickens,1.2
Indonesia,Cattle,400.0
Indonesia,Buffaloes,356.0
Indonesia,Sheep,21.0
Indonesia,Goats,21.0
Indonesia,Pigs,68.0
Indonesia,Chickens,1.1
Indonesia,Horses,250.0
Iran (Islamic Republic of),Cattle,280.0
Iran (Islamic Republic of),Buffaloes,350.0
Iran (Islamic Republic of),Sheep,36.0
Iran (Islamic Republic of),Goats,27.0
Iran (Islamic Republic of),Chickens,1.8
Iran (Islamic Republic of),Ducks,2.5
Iran (Islamic Republic of),Geese,3.2
Iran (Islamic Republic of),Turkeys,4.0
Iran (Islamic Republic of),Camels,400.0
Iraq,Cattle,244.0
Iraq,Buffaloes,330.0
Iraq,Sheep,34.0
Iraq,Goats,25.0
Iraq,Chickens,1.3
Iraq,Camels,500.0
Israel,Cattle,661.0
Israel,Sheep,38.0
Israel,Goats,33.0
Israel,Pigs,100.0
Israel,Chickens,1.364
Israel,Turkeys,8.016
Israel,Camels,320.0
Japan,Cattle,717.0
Japan,Sheep,52.0
Japan,Goats,62.0
Japan,Pigs,108.0
Japan,Chickens,2.591
Japan,Turkeys,4.0
Japan,Horses,780.0
Jordan,Cattle,310.0
Jordan,Sheep,29.0
Jordan,Goats,24.0
Jordan,Chickens,1.5
Jordan,Turkeys,5.0
Jordan,Camels,175.0
Jordan,Rabbits,2.0
Kazakhstan,Cattle,296.0
Kazakhstan,Sheep,35.0
Kazakhstan,Goats,36.0
Kazakhstan,Pigs,80.0
Kazakhstan,Chickens,1.481
Kazakhstan,Horses,315.0
Kazakhstan,Rabbits,2.113
Kyrgyzstan,Cattle,374.0
Kyrgyzstan,Sheep,37.0
Kyrgyzstan,Goats,35.0
Kyrgyzstan,Pigs,117.0
Kyrgyzstan,Chickens,1.261
Kyrgyzstan,Horses,371.0
Kyrgyzstan,Rabbits,1.877
Cambodia,Cattle,218.0
Cambodia,Buffaloes,320.0
Cambodia,Pigs,72.0
Cambodia,Chickens,1.3
Democratic People's Republic of Korea,Cattle,290.0
Democratic People's Republic of Korea,Sheep,33.0
Democratic People's Republic of Korea,Goats,33.0
Democratic People's Republic of Korea,Pigs,66.0
Democratic People's Republic of Korea,Chickens,1.3
Republic of Korea,Cattle,500.0
Republic of Korea,Sheep,30.0
Republic of Korea,Goats,30.0
Republic of Korea,Pigs,90.0
Republic of Korea,Chickens,1.8
Republic of Korea,Rabbits,2.8
Kuwait,Cattle,357.0
Kuwait,Sheep,49.0
Kuwait,Goats,40.0
Kuwait,Chickens,1.5
Kuwait,Camels,700.0
Lao People's Democratic Republic,Cattle,130.0
Lao People's Democratic Republic,Buffaloes,200.0
Lao People's Democratic Republic,Goat,20.0
Lao People's Democratic Republic,Pigs,30.0
Lao People's Democratic Republic,Chickens,1.2
Lao People's Democratic Republic,Ducks,2.0
Lebanon,Cattle,383.0
Lebanon,Sheep,50.0
Lebanon,Goat,46.0
Lebanon,Pigs,100.0
Lebanon,Chickens,1.38
Malaysia,Cattle,300.0
Malaysia,Buffaloes,350.0
Malaysia,Sheep,25.0
Malaysia,Goats,20.0
Malaysia,Pigs,90.0
Malaysia,Chickens,2.0
Malaysia,Ducks,3.1
Malaysia,Horses,250.0
Mongolia,Cattle,266.0
Mongolia,Sheep,46.0
Mongolia,Goats,32.0
Mongolia,Pigs,77.0
Mongolia,Chickens,1.493
Nepal,Cattle,170.0
Nepal,Buffaloes,368.0
Nepal,Sheep,28.0
Nepal,Goats,24.0
Nepal,Pigs,27.0
Nepal,Chickens,1.3
Oman,Cattle,260.0
Oman,Sheep,50.0
Oman,Goats,40.0
Oman,Chickens,1.2
Oman,Camels,430.0
Pakistan,Cattle,363.0
Pakistan,Buffaloes,264.0
Pakistan,Sheep,38.0
Pakistan,Goats,36.0
Pakistan,Chickens,1.42
Philippines,Cattle,400.0
Philippines,Buffaloes,370.0
Philippines,Sheep,26.0
Philippines,Goats,30.0
Philippines,Pigs,80.0
Philippines,Chickens,1.452
Philippines,Turkeys,2.0
Philippines,Horses,207.0
Qatar,Cattle,240.0
Qatar,Sheep,28.0
Qatar,Goats,25.0
Qatar,Chickens,1.3
Saudi Arabia,Cattle,383.0
Saudi Arabia,Sheep,35.0
Saudi Arabia,Goats,28.0
Saudi Arabia,Chickens,1.3
Saudi Arabia,Camels,447.0
Singapore,Cattle,0.0
Singapore,Sheep,67.0
Singapore,Pigs,120.0
Singapore,Chickens,2.0
Sri Lanka,Cattle,271.0
Sri Lanka,Buffaloes,226.0
Sri Lanka,Sheep,35.0
Sri Lanka,Goats,35.0
Sri Lanka,Pigs,103.0
Sri Lanka,Chickens,1.56
Syrian Arab Republic,Cattle,220.0
Syrian Arab Republic,Buffaloes,220.0
Syrian Arab Republic,Sheep,36.0
Syrian Arab Republic,Goats,30.0
Syrian Arab Republic,Chickens,1.405
Syrian Arab Republic,Turkeys,9.5
Syrian Arab Republic,Camels,380.0
Syrian Arab Republic,Rabbits,3.0
Tajikistan,Cattle,287.0
Tajikistan,Sheep,34.0
Tajikistan,Pigs,56.0
Tajikistan,Chickens,1.094
Turkmenistan,Cattle,314.0
Turkmenistan,Sheep,33.0
Turkmenistan,Goats,34.0
Turkmenistan,Pigs,79.0
Turkmenistan,Chickens,1.63
Thailand,Cattle,364.0
Thailand,Buffaloes,506.0
Thailand,Sheep,33.0
Thailand,Goats,33.0
Thailand,Pigs,72.0
Thailand,Chickens,1.626
Turkey,Cattle,302.0
Turkey,Buffaloes,298.0
Turkey,Sheep,34.0
Turkey,Goats,35.0
Turkey,Pigs,82.0
Turkey,Chickens,1.5
Turkey,Turkeys,2.5
Turkey,Horses,320.0
Turkey,Camels,525.0
Turkey,Rabbits,1.3
United Arab Emirates,Cattle,480.0
United Arab Emirates,Sheep,36.0
United Arab Emirates,Goats,32.0
United Arab Emirates,Chickens,1.5
United Arab Emirates,Camels,380.0
Uzbekistan,Cattle,319.0
Uzbekistan,Sheep,39.0
Uzbekistan,Pigs,81.0
Uzbekistan,Chickens,1.643
Viet Nam,Cattle,276.0
Viet Nam,Buffaloes,430.0
Viet Nam,Goat,33.0
Viet Nam,Pigs,92.0
Viet Nam,Chickens,0.961
Viet Nam,Horses,230.0
Yemen,Cattle,171.0
Yemen,Sheep,20.0
Yemen,Goats,20.0
Yemen,Chickens,1.189
Yemen,Camels,320.0
Albania,Cattle,196.0
Albania,Sheep,17.0
Albania,Goat,24.0
Albania,Pigs,57.0
Albania,Chickens,0.809
Austria,Cattle,545.0
Austria,Sheep,45.0
Austria,Goats,19.0
Austria,Pigs,127.0
Austria,Chickens,1.642
Austria,Turkeys,11.364
Austria,Horses,459.0
Austria,Rabbits,2.4
Belgium-Luxembourg,Cattle,603.0
Belgium-Luxembourg,Sheep,42.0
Belgium-Luxembourg,Pigs,114.0
Belgium-Luxembourg,Chickens,1.955
Belgium-Luxembourg,Turkeys,6.956
Belgium-Luxembourg,Horses,572.0
Bulgaria,Cattle,371.0
Bulgaria,Buffaloes,422.0
Bulgaria,Sheep,38.0
Bulgaria,Goat,28.0
Bulgaria,Pigs,111.0
Bulgaria,Chickens,1.942
Bulgaria,Rabbits,3.096
Czechia,Cattle,522.0
Czechia,Sheep,58.0
Czechia,Goats,70.0
Czechia,Pigs,112.0
Czechia,Chickens,1.8
Czechia,Turkeys,14.0
Czechia,Horses,600.0
Czechia,Rabbits,3.0
Slovakia,Cattle,420.0
Slovakia,Sheep,17.0
Slovakia,Goats,11.0
Slovakia,Pigs,110.0
Slovakia,Chickens,1.79
Slovakia,Ducks,2.6
Slovakia,Geese,5.2
Slovakia,Turkeys,6.5
Slovakia,Horses,266.0
Slovakia,Rabbits,2.8
Denmark,Cattle,500.0
Denmark,Sheep,42.0
Denmark,Pigs,106.0
Denmark,Chickens,1.718
Denmark,Turkeys,11.457
Denmark,Horses,635.0
Finland,Cattle,466.0
Finland,Sheep,44.0
Finland,Pigs,104.0
Finland,Chickens,1.575
Finland,Horses,524.0
France,Cattle,521.0
France,Sheep,35.0
France,Goat,13.0
France,Pigs,114.0
France,Chickens,1.756
France,Turkeys,7.568
France,Horses,530.0
France,Rabbits,2.0
Germany,Cattle,555.0
Germany,Sheep,40.0
Germany,Goats,37.0
Germany,Pigs,117.0
Germany,Chickens,1.75
Germany,Turkeys,13.75
Germany,Horses,528.0
Germany,Rabbits,2.4
Greece,Cattle,424.0
Greece,Sheep,22.0
Greece,Goat,20.0
Greece,Pigs,79.0
Greece,Chickens,1.5
Greece,Turkeys,5.5
Greece,Horses,360.0
Greece,Rabbits,2.015
Hungary,Cattle,423.0
Hungary,Sheep,25.0
Hungary,Pigs,117.0
Hungary,Chickens,1.891
Hungary,Turkeys,8.016
Hungary,Rabbits,2.578
Iceland,Cattle,226.0
Iceland,Sheep,32.0
Iceland,Pigs,80.0
Iceland,Chickens,1.641
Iceland,Horses,193.0
Ireland,Cattle,612.0
Ireland,Sheep,42.0
Ireland,Pigs,92.0
Ireland,Chickens,1.54
Ireland,Turkeys,7.9
Ireland,Horses,509.0
Italy,Cattle,441.0
Italy,Buffaloes,359.0
Italy,Sheep,16.0
Italy,Goat,14.0
Italy,Pigs,141.0
Italy,Chickens,2.118
Italy,Turkeys,11.2
Italy,Horses,412.0
Italy,Rabbits,2.0
Malta,Cattle,438.0
Malta,Sheep,32.0
Malta,Goats,26.0
Malta,Pigs,95.0
Malta,Chickens,1.664
Malta,Turkeys,5.586
Malta,Horses,168.0
Malta,Rabbits,2.1
Netherlands,Cattle,447.0
Netherlands,Sheep,50.0
Netherlands,Goats,26.0
Netherlands,Pigs,113.0
Netherlands,Chickens,1.6
Netherlands,Turkeys,7.1
Netherlands,Horses,569.0
Norway,Cattle,469.0
Norway,Sheep,44.0
Norway,Goats,26.0
Norway,Pigs,102.0
Norway,Chickens,1.386
Norway,Horses,489.0
Poland,Cattle,256.0
Poland,Sheep,36.0
Poland,Pigs,112.0
Poland,Chickens,1.7
Poland,Turkeys,6.67
Poland,Horses,507.0
Poland,Rabbits,2.1
Portugal,Cattle,442.0
Portugal,Sheep,20.0
Portugal,Goats,15.0
Portugal,Pigs,95.0
Portugal,Chickens,1.473
Portugal,Turkeys,5.3
Portugal,Horses,329.0
Romania,Cattle,248.0
