country,species,live_weight
Algeria,Cattle,319.0
Algeria,Sheep,32.0
Algeria,Goat,20.0
Algeria,Pigs,60.0
Algeria,Chickens,1.3
Algeria,Turkeys,6.7
Algeria,Horses,259.0
Algeria,Camels,459.0
Algeria,Rabbits,1.6
Angola,Cattle,300.0
Angola,Sheep,33.0
Angola,Goat,33.0
Angola,Pigs,81.0
Angola,Chickens,1.2
Benin,Cattle,220.0
Benin,Sheep,20.0
Benin,Goat,20.0
Benin,Pigs,40.0
Benin,Chickens,1.1
Botswana,Cattle,350.0
Botswana,Sheep,24.0
Botswana,Goats,22.0
Botswana,Pigs,67.0
Botswana,Chickens,1.1
Botswana,Rabbits,2.5
Burkina Faso,Cattle,220.0
Burkina Faso,Sheep,18.0
Burkina Faso,Goat,16.0
Burkina Faso,Pigs,34.0
Burkina Faso,Chickens,1.1
Burkina Faso,Horses,305.0
Burkina Faso,Camels,383.0
Burundi,Cattle,250.0
Burundi,Sheep,25.0
Burundi,Goat,20.0
Burundi,Pigs,53.0
Burundi,Chickens,1.2
Burundi,Rabbits,1.8
Cameroon,Cattle,300.0
Cameroon,Sheep,24.0
Cameroon,Goat,20.0
Cameroon,Pigs,45.0
Cameroon,Chickens,1.1
Cameroon,Horses,260.0
Cameroon,Rabbits,2.0
Central African Republic,Cattle,280.0
Central African Republic,Sheep,30.0
Central African Republic,Goat,34.0
Central African Republic,Pigs,60.0
Central African Republic,Chickens,2.0
Chad,Cattle,283.0
Chad,Sheep,40.0
Chad,Goat,26.0
Chad,Pigs,35.0
Chad,Chickens,1.0
Chad,Horses,210.0
Chad,Camels,360.0
Comoros,Cattle,220.0
Comoros,Sheep,30.0
Comoros,Goat,21.0
Comoros,Chickens,1.1
Congo,Cattle,312.0
Congo,Sheep,22.0
Congo,Goat,20.0
Congo,Pigs,80.0
Congo,Chickens,1.2
Cte d'Ivoire,Cattle,274.0
Cte d'Ivoire,Sheep,20.0
Cte d'Ivoire,Goat,20.0
Cte d'Ivoire,Pigs,62.0
Cte d'Ivoire,Chickens,1.3
Djibouti,Cattle,240.0
Djibouti,Sheep,21.0
Djibouti,Goat,27.0
Djibouti,Camels,340.0
Egypt,Cattle,247.0
Egypt,Buffaloes,285.0
Egypt,Sheep,54.0
Egypt,Goats,38.0
Egypt,Pigs,55.0
Egypt,Chickens,1.34
Egypt,Turkeys,6.7
Egypt,Camels,584.0
Egypt,Rabbits,1.8
Guinea,Cattle,220.0
Guinea,Sheep,22.0
Guinea,Goats,22.0
Guinea,Pigs,60.0
Guinea,Chickens,1.1
Eritrea,Cattle,213.0
Eritrea,Sheep,21.0
Eritrea,Goats,18.0
Eritrea,Chickens,1.224
Eritrea,Camels,300.0
Ethiopia,Cattle,250.0
Ethiopia,Sheep,20.0
Ethiopia,Goats,18.0
Ethiopia,Pigs,65.0
Ethiopia,Chickens,1.256
Ethiopia,Camels,300.0
Gabon,Cattle,265.0
Gabon,Sheep,26.0
Gabon,Goat,24.0
Gabon,Pigs,40.0
Gabon,Chickens,1.1
Gabon,Rabbits,1.65
Gambia,Cattle,240.0
Gambia,Sheep,22.0
Gambia,Goats,22.0
Gambia,Pigs,50.0
Gambia,Chickens,1.38
Ghana,Cattle,230.0
Ghana,Sheep,22.0
Ghana,Goats,20.0
Ghana,Pigs,35.0
Ghana,Chickens,1.24
Guinea,Cattle,250.0
Guinea,Sheep,25.0
Guinea,Goat,25.0
Guinea,Pigs,80.0
Guinea,Chickens,1.2
Guinea-Bissau,Cattle,180.0
Guinea-Bissau,Sheep,19.0
Guinea-Bissau,Goat,17.0
Guinea-Bissau,Pigs,45.0
Guinea-Bissau,Chickens,1.0
Kenya,Cattle,259.0
Kenya,Sheep,25.0
Kenya,Goats,23.0
Kenya,Pigs,80.0
Kenya,Chickens,1.56
Kenya,Camels,650.0
Kenya,Rabbits,1.8
Lesotho,Cattle,250.0
Lesotho,Sheep,45.0
Lesotho,Goats,17.0
Lesotho,Pigs,45.0
Lesotho,Chickens,2.0
Liberia,Cattle,250.0
Liberia,Sheep,20.0
Liberia,Goats,18.0
Liberia,Pigs,50.0
Liberia,Chickens,1.1
Libya,Cattle,400.0
Libya,Sheep,27.0
Libya,Goats,23.0
Libya,Chickens,1.6
Libya,Camels,400.0
Madagascar,Cattle,255.0
Madagascar,Sheep,25.0
Madagascar,Goat,32.0
Madagascar,Pigs,90.0
Madagascar,Chickens,1.7
Madagascar,Turkeys,3.6
Madagascar,Horses,350.0
Madagascar,Rabbits,1.8
Malawi,Cattle,400.0
Malawi,Sheep,25.0
Malawi,Goats,22.0
Malawi,Pigs,72.0
Malawi,Chickens,1.1
Mali,Cattle,260.0
Mali,Sheep,26.0
Mali,Goat,29.0
Mali,Pigs,58.0
Mali,Chickens,1.1
Mali,Horses,200.0
Mali,Camels,300.0
Mauritania,Cattle,272.0
Mauritania,Sheep,30.0
Mauritania,Goat,30.0
Mauritania,Chickens,1.1
Mauritania,Horses,320.0
Mauritania,Camels,424.0
Mauritius,Cattle,400.0
Mauritius,Sheep,16.0
Mauritius,Goats,15.0
Mauritius,Pigs,85.0
Mauritius,Chickens,1.9
Mauritius,Turkeys,4.1
Mauritius,Rabbits,2.5
Morocco,Cattle,300.0
Morocco,Sheep,30.0
Morocco,Goat,32.0
Morocco,Pigs,65.0
Morocco,Chickens,1.8
Morocco,Horses,255.0
Morocco,Camels,324.0
Mozambique,Cattle,290.0
Mozambique,Sheep,24.0
Mozambique,Goats,24.0
Mozambique,Pigs,80.0
Mozambique,Chickens,1.2
Namibia,Cattle,400.0
Namibia,Sheep,29.0
Namibia,Goats,28.0
Namibia,Pigs,75.0
Namibia,Chickens,1.1
Niger,Cattle,275.0
Niger,Sheep,29.0
Niger,Goat,24.0
Niger,Pigs,60.0
Niger,Chickens,1.1
Niger,Horses,280.0
Niger,Camels,305.0
Nigeria,Cattle,337.0
Nigeria,Sheep,22.0
Nigeria,Goats,25.0
Nigeria,Pigs,55.0
Nigeria,Chickens,1.25
Rwanda,Cattle,230.0
Rwanda,Sheep,23.0
Rwanda,Goat,22.0
Rwanda,Pigs,60.0
Rwanda,Chickens,1.1
Rwanda,Rabbits,1.8
Sao Tome and Principe,Cattle,280.0
Sao Tome and Principe,Sheep,20.0
Sao Tome and Principe,Goat,22.0
Sao Tome and Principe,Pigs,68.0
Sao Tome and Principe,Chickens,1.0
Sao Tome and Principe,Turkeys,3.6
Senegal,Cattle,250.0
Senegal,Sheep,28.0
Senegal,Goat,20.0
Senegal,Pigs,35.0
Senegal,Chickens,1.3
Senegal,Horses,250.0
Senegal,Camels,300.0
Seychelles,Cattle,360.0
Seychelles,Goats,22.0
Seychelles,Pigs,65.0
Seychelles,Chickens,1.2
Sierra Leone,Cattle,180.0
Sierra Leone,Sheep,25.0
Sierra Leone,Goats,20.0
Sierra Leone,Pigs,70.0
Sierra Leone,Chickens,1.2
Somalia,Cattle,230.0
