iso3,country_name,animal,animal_en,live_weight,carcass_weight,carcass_pct
DZA,Algeria,bovins,cattle,319,166,52
DZA,Algeria,ovins,sheep,32,16,49
DZA,Algeria,caprins,goat,20,10,50
DZA,Algeria,porcins,pigs,60,40,66
DZA,Algeria,poules,chickens,1300,1000,76
DZA,Algeria,dindons,turkeys,6700,5000,74
DZA,Algeria,chevaux,horses,259,129,50
DZA,Algeria,chameaux,camels,459,173,37
DZA,Algeria,lapins,rabbits,1600,1000,62
AGO,Angola,bovins,cattle,300,150,50
AGO,Angola,ovins,sheep,33,15,45
AGO,Angola,caprins,goat,33,15,45
AGO,Angola,porcins,pigs,81,65,80
AGO,Angola,poules,chickens,1200,900,75
BEN,Benin,bovins,cattle,220,110,50
BEN,Benin,ovins,sheep,20,10,50
BEN,Benin,caprins,goat,20,10,50
BEN,Benin,porcins,pigs,40,28,70
BEN,Benin,poules,chickens,1100,800,72
BWA,Botswana,cattle,cattle,350,185,52
BWA,Botswana,sheep,sheep,24,14,58
BWA,Botswana,goats,goats,22,12,54
BWA,Botswana,pigs,pigs,67,50,74
BWA,Botswana,chickens,chickens,1100,800,72
BWA,Botswana,rabbits,rabbits,2500,1800,72
BFA,Burkina Faso,bovins,cattle,220,110,50
BFA,Burkina Faso,ovins,sheep,18,9,50
BFA,Burkina Faso,caprins,goat,16,8.1,50
BFA,Burkina Faso,porcins,pigs,34,23,69
BFA,Burkina Faso,poules,chickens,1100,800,72
BFA,Burkina Faso,chevaux,horses,305,152,50
BFA,Burkina Faso,chameaux,camels,383,191,50
BDI,Burundi,bovins,cattle,250,130,52
BDI,Burundi,ovins,sheep,25,12,48
BDI,Burundi,caprins,goat,20,10,50
BDI,Burundi,porcins,pigs,53,40,75
BDI,Burundi,poules,chickens,1200,900,75
BDI,Burundi,lapins,rabbits,1800,1200,66
CMR,Cameroon,bovins,cattle,300,140,46
CMR,Cameroon,ovins,sheep,24,12,50
CMR,Cameroon,caprins,goat,20,10,50
CMR,Cameroon,porcins,pigs,45,30,66
CMR,Cameroon,poules,chickens,1100,800,72
CMR,Cameroon,chevaux,horses,260,130,50
CMR,Cameroon,lapins,rabbits,2000,1000,50
CPV,Cape Verde,bovins,cattle,260,133,51
CPV,Cape Verde,ovins,sheep,50,25,50
CPV,Cape Verde,caprins,goat,18,14,77
CPV,Cape Verde,porcins,pigs,68,54,79
CPV,Cape Verde,poules,chickens,1400,915,65
CAF,Central African Republic,bovins,cattle,280,180,64
CAF,Central African Republic,ovins,sheep,30,15,50
CAF,Central African Republic,caprins,goat,34,17,50
CAF,Central African Republic,porcins,pigs,60,55,90
CAF,Central African Republic,poules,chickens,2000,1100,55
TCD,Chad,bovins,cattle,283,141,50
TCD,Chad,ovins,sheep,40,18,45
TCD,Chad,caprins,goat,26,13,50
TCD,Chad,porcins,pigs,35,25,71
TCD,Chad,poules,chickens,1000,700,70
TCD,Chad,chevaux,horses,210,100,47
TCD,Chad,chameaux,camels,360,180,50
COM,Comoros,bovins,cattle,220,110,50
COM,Comoros,ovins,sheep,30,15,50
COM,Comoros,caprins,goat,21,10,47
COM,Comoros,poules,chickens,1100,800,72
COG,Congo - Brazzaville,bovins,cattle,312,156,50
COG,Congo - Brazzaville,ovins,sheep,22,10,45
COG,Congo - Brazzaville,caprins,goat,20,9,45
COG,Congo - Brazzaville,porcins,pigs,80,56,70
COG,Congo - Brazzaville,poules,chickens,1200,1000,83
CIV,CÙte díIvoire,bovins,cattle,274,137,50
CIV,CÙte díIvoire,ovins,sheep,20,10,50
CIV,CÙte díIvoire,caprins,goat,20,10,50
CIV,CÙte díIvoire,porcins,pigs,62,50,80
CIV,CÙte díIvoire,poules,chickens,1300,1100,84
DJI,Djibouti,bovins,cattle,240,110,45
DJI,Djibouti,ovins,sheep,21,10,49
DJI,Djibouti,caprins,goat,27,12,46
DJI,Djibouti,chameaux,camels,340,150,44
EGY,Egypt,cattle,cattle,247,150,60
EGY,Egypt,buffaloes,buffaloes,285,136,47
EGY,Egypt,sheep,sheep,54,24,45
EGY,Egypt,goats,goats,38,18,48
EGY,Egypt,pigs,pigs,55,43,78
EGY,Egypt,chickens,chickens,1340,1082,80
EGY,Egypt,turkeys,turkeys,6700,5000,74
EGY,Egypt,camels,camels,584,279,47
EGY,Egypt,rabbits,rabbits,1800,1200,66
GIN,Guinea,ganado vacuno,cattle,220,110,50
GIN,Guinea,ovinos,sheep,22,11,50
GIN,Guinea,caprinos,goats,22,11,50
GIN,Guinea,cerdos,pigs,60,45,75
GIN,Guinea,gallinas,chickens,1100,800,72
ERI,Eritrea,cattle,cattle,213,106,49
ERI,Eritrea,sheep,sheep,21,9.8,46
ERI,Eritrea,goats,goats,18,8.4,46
ERI,Eritrea,chickens,chickens,1224,780,63
ERI,Eritrea,camels,camels,300,120,40
ETH,Ethiopia,cattle,cattle,250,110,44
