iso3,country_name,animal,animal_en,live_weight,carcass_weight,carcass_pct
ETH,Ethiopia,sheep,sheep,20,10,50
ETH,Ethiopia,goats,goats,18,10,55
ETH,Ethiopia,pigs,pigs,65,50,77
ETH,Ethiopia,chickens,chickens,1256,800,64
ETH,Ethiopia,camels,camels,300,120,40
GAB,Gabon,bovins,cattle,265,132,49
GAB,Gabon,ovins,sheep,26,12,46
GAB,Gabon,caprins,goat,24,10,41
GAB,Gabon,porcins,pigs,40,28,70
GAB,Gabon,poules,chickens,1100,800,72
GAB,Gabon,lapins,rabbits,1650,1200,72
GMB,Gambia,cattle,cattle,240,120,50
GMB,Gambia,sheep,sheep,22,11,50
GMB,Gambia,goats,goats,22,11,50
GMB,Gambia,pigs,pigs,50,40,80
GMB,Gambia,chickens,chickens,1380,1000,72
GHA,Ghana,cattle,cattle,230,115,50
GHA,Ghana,sheep,sheep,22,11,50
GHA,Ghana,goats,goats,20,9.5,47
GHA,Ghana,pigs,pigs,35,28,80
GHA,Ghana,chickens,chickens,1240,900,72
GIN,Guinea,bovins,cattle,250,109,43
GIN,Guinea,ovins,sheep,25,12,48
GIN,Guinea,caprins,goat,25,16,64
GIN,Guinea,porcins,pigs,80,47,59
GIN,Guinea,poules,chickens,1200,900,75
GNB,Guinea-Bissau,bovins,cattle,180,85,48
GNB,Guinea-Bissau,ovins,sheep,19,9,47
GNB,Guinea-Bissau,caprins,goat,17,8,47
GNB,Guinea-Bissau,porcins,pigs,45,25,55
GNB,Guinea-Bissau,poules,chickens,1000,600,60
KEN,Kenya,cattle,cattle,259,129,50
KEN,Kenya,sheep,sheep,25,12,48
KEN,Kenya,goats,goats,23,11,47
KEN,Kenya,pigs,pigs,80,65,81
KEN,Kenya,chickens,chickens,1560,1200,76
KEN,Kenya,camels,camels,650,300,46
KEN,Kenya,rabbits,rabbits,1800,1200,66
LSO,Lesotho,cattle,cattle,250,130,52
LSO,Lesotho,sheep,sheep,45,19,42
LSO,Lesotho,goats,goats,17,9,53
LSO,Lesotho,pigs,pigs,45,23,73
LSO,Lesotho,chickens,chickens,2000,1500,75
LBR,Liberia,cattle,cattle,250,125,50
LBR,Liberia,sheep,sheep,20,10,50
LBR,Liberia,goats,goats,18,9,50
LBR,Liberia,pigs,pigs,50,40,80
LBR,Liberia,chickens,chickens,1100,800,72
LBY,Libya,cattle,cattle,400,200,50
LBY,Libya,sheep,sheep,27,15,55
LBY,Libya,goats,goats,23,15,63
LBY,Libya,chickens,chickens,1600,1300,81
LBY,Libya,camels,camels,400,200,50
MDG,Madagascar,bovins,cattle,255,127,50
MDG,Madagascar,ovins,sheep,25,12,48
MDG,Madagascar,caprins,goat,32,15,46
MDG,Madagascar,porcins,pigs,90,70,78
MDG,Madagascar,poules,chickens,1700,1200,71
MDG,Madagascar,dindons,turkeys,3600,3000,83
MDG,Madagascar,chevaux,horses,350,175,50
MDG,Madagascar,lapins,rabbits,1800,1200,66
MWI,Malawi,cattle,cattle,400,200,50
MWI,Malawi,sheep,sheep,25,14,56
MWI,Malawi,goats,goats,22,12,54
MWI,Malawi,pigs,pigs,72,50,69
MWI,Malawi,chickens,chickens,1100,800,72
MLI,Mali,bovins,cattle,260,130,50
MLI,Mali,ovins,sheep,26,12,46
MLI,Mali,caprins,goat,29,14,48
MLI,Mali,porcins,pigs,58,40,68
MLI,Mali,poules,chickens,1100,800,72
MLI,Mali,chevaux,horses,200,100,50
MLI,Mali,chameaux,camels,300,160,53
MRT,Mauritania,bovins,cattle,272,124,45
MRT,Mauritania,ovins,sheep,30,15,50
MRT,Mauritania,caprins,goat,30,15,50
MRT,Mauritania,poules,chickens,1100,800,72
MRT,Mauritania,chevaux,horses,320,150,46
MRT,Mauritania,chameaux,camels,424,184,43
MUS,Mauritius,cattle,cattle,400,182,46
MUS,Mauritius,sheep,sheep,16,12,75
MUS,Mauritius,goats,goats,15,7.2,48
MUS,Mauritius,pigs,pigs,85,68,80
MUS,Mauritius,chickens,chickens,1900,1460,76
MUS,Mauritius,turkeys,turkeys,4100,3500,85
MUS,Mauritius,rabbits,rabbits,2500,1800,72
MAR,Morocco,bovins,cattle,300,160,53
MAR,Morocco,ovins,sheep,30,14,47
MAR,Morocco,caprins,goat,32,10,31
MAR,Morocco,porcins,pigs,65,50,77
MAR,Morocco,poules,chickens,1800,1200,67
MAR,Morocco,chevaux,horses,255,130,51
MAR,Morocco,chameaux,camels,324,120,37
MOZ,Mozambique,cattle,cattle,290,150,51
MOZ,Mozambique,sheep,sheep,24,12,50
MOZ,Mozambique,goats,goats,24,12,50
MOZ,Mozambique,pigs,pigs,80,60,75
MOZ,Mozambique,chickens,chickens,1200,900,75
NAM,Namibia,cattle,cattle,400,224,56
NAM,Namibia,sheep,sheep,29,16,55
NAM,Namibia,goats,goats,28,12,42
NAM,Namibia,pigs,pigs,75,54,72
NAM,Namibia,chickens,chickens,1100,800,72
NER,Niger,bovins,cattle,275,114,41
NER,Niger,ovins,sheep,29,16,55
NER,Niger,caprins,goat,24,12,50
NER,Niger,porcins,pigs,60,45,75
NER,Niger,poules,chickens,1100,800,72
NER,Niger,chevaux,horses,280,130,46
NER,Niger,chameaux,camels,305,142,46
NGA,Nigeria,cattle,cattle,337,167,49
NGA,Nigeria,sheep,sheep,22,11,50
NGA,Nigeria,goats,goats,25,12,50
NGA,Nigeria,pigs,pigs,55,45,81
NGA,Nigeria,chickens,chickens,1250,1000,80
REU,RÈunion,bovins,cattle,423,229,54
REU,RÈunion,ovins,sheep,24,12,50
REU,RÈunion,caprins,goat,24,9.7,40
REU,RÈunion,porcins,pigs,147,112,76
REU,RÈunion,poules,chickens,1300,1000,76
REU,RÈunion,dindons,turkeys,3500,3000,85
REU,RÈunion,chevaux,horses,415,207,50
REU,RÈunion,lapins,rabbits,1600,1200,75
RWA,Rwanda,bovins,cattle,230,104,45
RWA,Rwanda,ovins,sheep,23,12,52
RWA,Rwanda,caprins,goat,22,11,50
RWA,Rwanda,porcins,pigs,60,42,70
RWA,Rwanda,poules,chickens,1100,900,81
RWA,Rwanda,lapins,rabbits,1800,1200,66
STP,S„o TomÈ & PrÌncipe,bovins,cattle,280,176,63
STP,S„o TomÈ & PrÌncipe,ovins,sheep,20,10,50
STP,S„o TomÈ & PrÌncipe,caprins,goat,22,11,50
STP,S„o TomÈ & PrÌncipe,porcins,pigs,68,46,67
STP,S„o TomÈ & PrÌncipe,poules,chickens,1000,800,80
STP,S„o TomÈ & PrÌncipe,dindons,turkeys,3600,3000,83
SEN,Senegal,bovins,cattle,250,125,50
SEN,Senegal,ovins,sheep,28,12,43
SEN,Senegal,caprins,goat,20,10,50
SEN,Senegal,porcins,pigs,35,26,75
SEN,Senegal,poules,chickens,1300,1000,76
SEN,Senegal,chevaux,horses,250,125,50
SEN,Senegal,chameaux,camels,300,150,50
SYC,Seychelles,cattle,cattle,360,217,60
SYC,Seychelles,goats,goats,22,11,50
SYC,Seychelles,pigs,pigs,65,50,76
SYC,Seychelles,chickens,chickens,1200,1000,83
SLE,Sierra Leone,cattle,cattle,180,90,50
SLE,Sierra Leone,sheep,sheep,25,11,44
SLE,Sierra Leone,goats,goats,20,9,45
SLE,Sierra Leone,pigs,pigs,70,58,82
SLE,Sierra Leone,chickens,chickens,1200,900,75
SOM,Somalia,cattle,cattle,230,110,47
SOM,Somalia,sheep,sheep,26,13,50
SOM,Somalia,goats,goats,26,13,50
SOM,Somalia,pigs,pigs,70,50,71
SOM,Somalia,chickens,chickens,1100,800,72
SOM,Somalia,camels,camels,360,170,47
ZAF,South Africa,cattle,cattle,391,215,55
ZAF,South Africa,sheep,sheep,35,17,49
ZAF,South Africa,goats,goats,31,17,55
ZAF,South Africa,pigs,pigs,85,65,76
ZAF,South Africa,chickens,chickens,1700,1262,74
ZAF,South Africa,turkeys,turkeys,9000,8000,88
ZAF,South Africa,horses,horses,420,200,47
SDN,Sudan,cattle,cattle,217,108,50
SDN,Sudan,sheep,sheep,32,16,50
SDN,Sudan,goats,goats,26,13,50
SDN,Sudan,chickens,chickens,1200,1000,83
SDN,Sudan,camels,camels,490,225,45
SWZ,Eswatini,cattle,cattle,432,214,49
SWZ,Eswatini,sheep,sheep,37,18,48
SWZ,Eswatini,goats,goats,37,18,48
SWZ,Eswatini,pigs,pigs,68,50,73
SWZ,Eswatini,chickens,chickens,1500,1000,66
TZA,Tanzania,cattle,cattle,206,107,52
TZA,Tanzania,sheep,sheep,24,12,50
TZA,Tanzania,goats,goats,24,12,50
TZA,Tanzania,pigs,pigs,51,40,78
TZA,Tanzania,chickens,chickens,1270,900,71
TGO,Togo,bovins,cattle,250,125,50
TGO,Togo,ovins,sheep,22,11,50
TGO,Togo,caprins,goat,20,9,45
TGO,Togo,porcins,pigs,40,28,70
TGO,Togo,poules,chickens,1100,800,72
TUN,Tunisia,bovins,cattle,350,182,52
TUN,Tunisia,ovins,sheep,22,11,49
TUN,Tunisia,caprins,goat,16,8.2,49
TUN,Tunisia,porcins,pigs,70,50,70
TUN,Tunisia,poules,chickens,1584,1218,76
TUN,Tunisia,dindons,turkeys,6700,5000,74
TUN,Tunisia,chevaux,horses,115,52,45
TUN,Tunisia,chameaux,camels,216,80,37
UGA,Uganda,cattle,cattle,310,150,48
UGA,Uganda,sheep,sheep,28,13,49
UGA,Uganda,goats,goats,24,11,49
UGA,Uganda,pigs,pigs,75,60,80
UGA,Uganda,chickens,chickens,1600,1300,81
COD,Congo - Kinshasa,bovins,cattle,303,151,50
COD,Congo - Kinshasa,ovins,sheep,22,9.9,45
COD,Congo - Kinshasa,caprins,goat,20,11,55
COD,Congo - Kinshasa,porcins,pigs,71,50,70
COD,Congo - Kinshasa,poules,chickens,1000,789,78
ZMB,Zambia,cattle,cattle,309,154,50
ZMB,Zambia,sheep,sheep,29,14,48
ZMB,Zambia,goats,goats,23,12,52
ZMB,Zambia,pigs,pigs,60,44,73
ZMB,Zambia,chickens,chickens,1200,1000,83
ZWE,Zimbabwe,cattle,cattle,359,179,49
ZWE,Zimbabwe,sheep,sheep,28,14,50
ZWE,Zimbabwe,goats,goats,24,12,50
ZWE,Zimbabwe,pigs,pigs,74,55,74
ZWE,Zimbabwe,chickens,chickens,1500,1150,76
ZWE,Zimbabwe,turkeys,turkeys,4500,4000,88
ATG,Antigua & Barbuda,cattle,cattle,377,188,49
ATG,Antigua & Barbuda,sheep,sheep,26,12,46
ATG,Antigua & Barbuda,goats,goats,22,10,45
ATG,Antigua & Barbuda,pigs,pigs,74,51,70
ATG,Antigua & Barbuda,chickens,chickens,1500,1200,80
BHS,Bahamas,cattle,cattle,350,170,48
BHS,Bahamas,sheep,sheep,30,14,46
BHS,Bahamas,goats,goats,26,12,46
BHS,Bahamas,pigs,pigs,75,50,66
BHS,Bahamas,chickens,chickens,1600,1205,75
BRB,Barbados,cattle,cattle,389,194,50
BRB,Barbados,sheep,sheep,30,14,46
BRB,Barbados,goats,goats,30,14,46
BRB,Barbados,pigs,pigs,136,95,69
BRB,Barbados,chickens,chickens,1500,1223,81
BLZ,Belize,cattle,cattle,339,169,49
BLZ,Belize,sheep,sheep,28,15,53
BLZ,Belize,goats,goats,24,12,50
BLZ,Belize,pigs,pigs,54,35,64
BLZ,Belize,chickens,chickens,1798,1493,83
BLZ,Belize,turkeys,turkeys,2400,2000,83
BMU,Bermuda,cattle,cattle,311,156,50
BMU,Bermuda,goats,goats,26,12,46
BMU,Bermuda,pigs,pigs,97,68,70
BMU,Bermuda,chickens,chickens,1500,1200,80
VGB,British Virgin Islands,cattle,cattle,360,180,50
VGB,British Virgin Islands,sheep,sheep,30,14,46
VGB,British Virgin Islands,goats,goats,26,12,46
VGB,British Virgin Islands,pigs,pigs,75,50,66
CAN,Canada,cattle,cattle,592,296,50
CAN,Canada,sheep,sheep,42,21,50
CAN,Canada,pigs,pigs,96,79,82
CAN,Canada,chickens,chickens,1820,1492,82
CAN,Canada,ducks,ducks,2678,2012,75
CAN,Canada,geese,geese,6570,4937,75
CAN,Canada,turkeys,turkeys,7556,6193,82
CAN,Canada,horses,horses,500,204,40
CRI,Costa Rica,ganado vacuno,cattle,417,204,49
CRI,Costa Rica,ovinos,sheep,33,15,45
CRI,Costa Rica,caprinos,goats,26,12,46
CRI,Costa Rica,cerdos,pigs,96,74,76
CRI,Costa Rica,gallinas,chickens,1871,1571,83
CUB,Cuba,ganado vacuno,cattle,286,143,50
CUB,Cuba,ovinos,sheep,24,12,50
CUB,Cuba,caprinos,goats,24,12,50
CUB,Cuba,cerdos,pigs,91,61,66
CUB,Cuba,gallinas,chickens,1540,1208,78
CUB,Cuba,caballos,horses,270,120,44
DMA,Dominica,cattle,cattle,360,180,50
DMA,Dominica,sheep,sheep,30,14,46
DMA,Dominica,goats,goats,26,12,46
DMA,Dominica,pigs,pigs,90,60,66
DMA,Dominica,chickens,chickens,1586,1000,63
DOM,Dominican Republic,ganado vacuno,cattle,518,253,48
DOM,Dominican Republic,ovinos,sheep,20,12,60
DOM,Dominican Republic,caprinos,goats,24,12,50
DOM,Dominican Republic,cerdos,pigs,100,65,64
DOM,Dominican Republic,gallinas,chickens,1721,1205,70
SLV,El Salvador,ganado vacuno,cattle,318,165,52
SLV,El Salvador,ovinos,sheep,30,15,50
SLV,El Salvador,caprinos,goats,30,15,50
SLV,El Salvador,cerdos,pigs,90,49,54
SLV,El Salvador,gallinas,chickens,1591,1352,85
GRL,Greenland,sheep,sheep,35,19,54
GRD,Grenada,cattle,cattle,303,151,49
GRD,Grenada,sheep,sheep,33,16,50
GRD,Grenada,goats,goats,22,11,51
GRD,Grenada,pigs,pigs,79,56,71
GRD,Grenada,chickens,chickens,1729,1000,57
GLP,Guadeloupe,bovins,cattle,418,209,50
GLP,Guadeloupe,ovins,sheep,24,16,67
GLP,Guadeloupe,caprins,goat,26,13,49
GLP,Guadeloupe,porcins,pigs,83,59,71
GLP,Guadeloupe,poules,chickens,1500,1013,67
GLP,Guadeloupe,dindons,turkeys,5049,3091,61
GLP,Guadeloupe,chevaux,horses,250,125,50
GLP,Guadeloupe,lapins,rabbits,1800,1533,85
GTM,Guatemala,ganado vacuno,cattle,362,181,50
GTM,Guatemala,ovinos,sheep,30,15,50
GTM,Guatemala,caprinos,goats,30,15,50
GTM,Guatemala,cerdos,pigs,81,74,91
GTM,Guatemala,gallinas,chickens,2048,1649,80
GTM,Guatemala,caballos,horses,250,126,50
HTI,Haiti,bovins,cattle,280,140,50
HTI,Haiti,ovins,sheep,30,15,50
HTI,Haiti,caprins,goat,30,15,50
HTI,Haiti,porcins,pigs,90,59,66
HTI,Haiti,poules,chickens,1200,900,75
HTI,Haiti,dindons,turkeys,2000,1500,75
HTI,Haiti,chevaux,horses,400,200,50
HND,Honduras,ganado vacuno,cattle,290,154,53
HND,Honduras,ovinos,sheep,30,15,50
HND,Honduras,caprinos,goats,30,15,50
HND,Honduras,cerdos,pigs,45,33,74
HND,Honduras,gallinas,chickens,1300,999,76
HND,Honduras,caballos,horses,250,125,50
JAM,Jamaica,cattle,cattle,436,218,50
JAM,Jamaica,sheep,sheep,37,17,46
JAM,Jamaica,goats,goats,26,11,46
JAM,Jamaica,pigs,pigs,97,64,66
JAM,Jamaica,chickens,chickens,1830,1455,79
JAM,Jamaica,horses,horses,300,150,50
MTQ,Martinique,bovins,cattle,410,205,49
MTQ,Martinique,ovins,sheep,34,19,57
MTQ,Martinique,caprins,goat,21,12,57
MTQ,Martinique,porcins,pigs,81,54,66
MTQ,Martinique,poules,chickens,1330,1081,81
MTQ,Martinique,lapins,rabbits,3000,1442,48
MEX,Mexico,ganado vacuno,cattle,384,209,54
MEX,Mexico,ovinos,sheep,32,14,45
MEX,Mexico,caprinos,goats,25,15,60
MEX,Mexico,cerdos,pigs,82,63,77
MEX,Mexico,gallinas,chickens,1903,1585,83
MEX,Mexico,pavos,turkeys,4000,3300,82
MEX,Mexico,caballos,horses,250,125,50
MEX,Mexico,conejos,rabbits,1700,1000,58
MSR,Montserrat,cattle,cattle,360,180,50
MSR,Montserrat,sheep,sheep,30,14,46
MSR,Montserrat,goats,goats,26,12,46
MSR,Montserrat,pigs,pigs,75,50,66
MSR,Montserrat,chickens,chickens,1500,1200,80
NA,Netherlands Antilles,cattle,cattle,300,150,50
NA,Netherlands Antilles,sheep,sheep,20,10,50
NA,Netherlands Antilles,goats,goats,18,9,50
NA,Netherlands Antilles,pigs,pigs,90,60,66
NA,Netherlands Antilles,chickens,chickens,1300,1000,76
NIC,Nicaragua,ganado vacuno,cattle,291,145,49
NIC,Nicaragua,ovinos,sheep,26,12,46
NIC,Nicaragua,caprinos,goats,30,16,53
NIC,Nicaragua,cerdos,pigs,66,44,66
NIC,Nicaragua,gallinas,chickens,2035,1590,78
NIC,Nicaragua,caballos,horses,200,100,50
PAN,Panama,ganado vacuno,cattle,360,187,52
PAN,Panama,cerdos,pigs,78,66,85
PAN,Panama,gallinas,chickens,1625,1268,78
PRI,Puerto Rico,cattle,cattle,439,220,50
PRI,Puerto Rico,sheep,sheep,25,12,48
PRI,Puerto Rico,goats,goats,28,11,39
PRI,Puerto Rico,pigs,pigs,87,47,54
PRI,Puerto Rico,chickens,chickens,1600,1307,81
KNA,St. Kitts & Nevis,cattle,cattle,360,181,50
KNA,St. Kitts & Nevis,sheep,sheep,35,16,45
KNA,St. Kitts & Nevis,goats,goats,30,14,46
KNA,St. Kitts & Nevis,pigs,pigs,90,60,66
KNA,St. Kitts & Nevis,chickens,chickens,1500,1200,80
LCA,St. Lucia,cattle,cattle,365,182,49
LCA,St. Lucia,sheep,sheep,42,20,47
LCA,St. Lucia,goats,goats,30,14,46
LCA,St. Lucia,pigs,pigs,85,57,67
LCA,St. Lucia,chickens,chickens,1500,1200,80
VCT,St. Vincent & Grenadines,cattle,cattle,365,181,49
VCT,St. Vincent & Grenadines,sheep,sheep,30,13,43
VCT,St. Vincent & Grenadines,goats,goats,28,12,42
VCT,St. Vincent & Grenadines,pigs,pigs,95,60,63
VCT,St. Vincent & Grenadines,chickens,chickens,1696,1000,58
TTO,Trinidad & Tobago,cattle,cattle,344,172,50
TTO,Trinidad & Tobago,sheep,sheep,38,20,52
TTO,Trinidad & Tobago,goats,goats,30,15,50
TTO,Trinidad & Tobago,pigs,pigs,76,53,69
TTO,Trinidad & Tobago,chickens,chickens,1965,1549,78
USA,United States,cattle,cattle,539,308,57
USA,United States,sheep,sheep,59,28,47
USA,United States,pigs,pigs,117,83,71
USA,United States,chickens,chickens,2072,1516,73
USA,United States,turkeys,turkeys,10296,8027,77
USA,United States,horses,horses,500,250,50
VIR,U.S. Virgin Islands,cattle,cattle,410,213,52
VIR,U.S. Virgin Islands,sheep,sheep,30,14,46
VIR,U.S. Virgin Islands,goats,goats,23,11,47
VIR,U.S. Virgin Islands,pigs,pigs,90,70,77
VIR,U.S. Virgin Islands,chickens,chickens,1700,1300,76
ARG,Argentina,ganado vacuno,cattle,393,187,47
ARG,Argentina,ovinos,sheep,34,17,49
ARG,Argentina,caprinos,goats,13,6.6,50
ARG,Argentina,cerdos,pigs,112,90,79
ARG,Argentina,gallinas,chickens,2472,1944,78
ARG,Argentina,pavos,turkeys,6000,5100,85
ARG,Argentina,caballos,horses,434,217,49
ARG,Argentina,conejos,rabbits,1800,1100,61
BOL,Bolivia,ganado vacuno,cattle,342,171,50
BOL,Bolivia,ovinos,sheep,22,10,45
BOL,Bolivia,caprinos,goats,22,10,47
BOL,Bolivia,cerdos,pigs,88,60,68
BOL,Bolivia,gallinas,chickens,2000,1750,88
BOL,Bolivia,pavos,turkeys,2900,2500,86
BOL,Bolivia,conejos,rabbits,1500,900,60
BRA,Brazil,cattle,cattle,382,188,49
BRA,Brazil,sheep,sheep,30,16,53
BRA,Brazil,goats,goats,22,11,51
BRA,Brazil,pigs,pigs,120,84,70
BRA,Brazil,chickens,chickens,1750,1348,77
BRA,Brazil,turkeys,turkeys,6980,6612,94
BRA,Brazil,horses,horses,180,129,71
BRA,Brazil,rabbits,rabbits,2200,1500,68
CHL,Chile,ganado vacuno,cattle,495,247,49
CHL,Chile,ovinos,sheep,28,15,55
CHL,Chile,caprinos,goats,36,18,50
CHL,Chile,cerdos,pigs,95,79,83
CHL,Chile,gallinas,chickens,1400,1126,80
CHL,Chile,caballos,horses,431,215,49
COL,Colombia,ganado vacuno,cattle,389,194,49
COL,Colombia,ovinos,sheep,27,14,51
COL,Colombia,caprinos,goats,31,15,50
COL,Colombia,cerdos,pigs,91,68,74
COL,Colombia,gallinas,chickens,1926,1528,79
COL,Colombia,caballos,horses,360,125,34
COL,Colombia,conejos,rabbits,1800,1312,72
ECU,Ecuador,ganado vacuno,cattle,460,230,50
ECU,Ecuador,ovinos,sheep,50,30,60
ECU,Ecuador,caprinos,goats,40,24,60
ECU,Ecuador,cerdos,pigs,90,68,75
ECU,Ecuador,gallinas,chickens,2000,1500,75
ECU,Ecuador,pavos,turkeys,10000,7500,75
ECU,Ecuador,conejos,rabbits,2000,800,40
FLK,Falkland Islands,cattle,cattle,520,261,50
FLK,Falkland Islands,sheep,sheep,40,18,45
FLK,Falkland Islands,chickens,chickens,1700,1300,76
GUF,French Guiana,bovins,cattle,378,177,46
GUF,French Guiana,ovins,sheep,26,12,46
GUF,French Guiana,caprins,goat,22,10,45
GUF,French Guiana,porcins,pigs,98,91,93
GUF,French Guiana,poules,chickens,1381,1108,80
GUY,Guyana,cattle,cattle,318,159,50
GUY,Guyana,sheep,sheep,20,10,50
GUY,Guyana,goats,goats,21,10,47
GUY,Guyana,pigs,pigs,78,50,65
GUY,Guyana,chickens,chickens,1400,1099,78
PRY,Paraguay,ganado vacuno,cattle,345,179,52
PRY,Paraguay,ovinos,sheep,31,15,48
PRY,Paraguay,caprinos,goats,22,10,45
PRY,Paraguay,cerdos,pigs,90,60,66
PRY,Paraguay,gallinas,chickens,1300,1000,76
PRY,Paraguay,pavos,turkeys,3500,3000,85
PRY,Paraguay,caballos,horses,360,180,50
PER,Peru,ganado vacuno,cattle,280,140,50
PER,Peru,ovinos,sheep,22,10,45
PER,Peru,caprinos,goats,21,10,48
PER,Peru,cerdos,pigs,74,52,69
PER,Peru,gallinas,chickens,1800,1386,77
PER,Peru,conejos,rabbits,1500,1200,80
SUR,Suriname,cattle,cattle,274,144,52
SUR,Suriname,sheep,sheep,25,12,48
SUR,Suriname,goats,goats,22,10,45
SUR,Suriname,pigs,pigs,90,60,66
SUR,Suriname,chickens,chickens,1722,1686,97
URY,Uruguay,ganado vacuno,cattle,441,233,52
URY,Uruguay,ovinos,sheep,33,15,48
URY,Uruguay,cerdos,pigs,108,77,71
URY,Uruguay,gallinas,chickens,1300,1000,76
URY,Uruguay,pavos,turkeys,3500,3000,85
URY,Uruguay,caballos,horses,420,201,47
URY,Uruguay,conejos,rabbits,1900,1500,78
VEN,Venezuela,ganado vacuno,cattle,416,208,49
VEN,Venezuela,ovinos,sheep,30,13,45
